COMPLEX_NAME,longitude,latitude
NE Community Skatepark,-113.9481254,51.11930484
Max Bell #2,-114.0038894,51.04225917
Optimist Arena,-114.1601252,51.0322953
Village Square Leisure Centre,-113.9544374,51.07601411
Norma Bush Arena,-114.1255736,51.07342935
Father David Bauer Arena,-114.1263332,51.07377112
Inglewood Aquatic Centre,-114.0286618,51.03744097
Silver Springs Outdoor Pool,-114.1923413,51.10404388
Stew Hendry Arena,-114.0446915,51.06517715
Ernie Starr Arena,-113.9649277,51.0413688
Canyon Meadows Aquatic & Fitness Centre,-114.0895158,50.94840292
Bob Bahan Aquatic & Fitness Centre,-113.9639613,51.04129815
Shane Homes YMCA at Rocky Ridge,-114.2314983,51.15715638
Glenmore Athletic Park,-114.1026772,51.00739855
Remington YMCA in Quarry Park,-114.0060917,50.96174718
Brentwood Sportsplex,-114.1378114,51.0975055
Thornhill Aquatic & Recreation Centre,-114.06529,51.11257027
Optimist Athletic Park,-114.1615475,51.03328126
Stanley Park Outdoor Pool & Wading Pool,-114.0692974,51.01720587
George Blundun Arena,-114.1600449,51.03197786
Pop Davies Athletic Park,-114.0085739,50.9962681
Jack Setters Arena,-114.0124146,50.99175618
Glenmore Aquatic Centre,-114.1054115,51.006235
Rocky Ridge Skatepark,-114.2289763,51.15621411
Westside Recreation Centre,-114.1855656,51.0357134
Shouldice Arena,-114.1654292,51.07107029
South Calgary Outdoor Pool,-114.0988701,51.02525037
Acadia Aquatic & Fitness Centre,-114.0601578,50.97347749
Shouldice Aquatic Centre,-114.172003,51.07708473
Shaganappi Golf Course,-114.1247786,51.04550081
Henry Viney Arena,-114.0453993,51.06538171
Lake Bonavista Recreation Centre,-114.0491694,50.93689185
Jimmy Condon Arena,-114.0742334,50.98033281
Village Square Arena #2,-113.9549076,51.07548606
Brookfield Residential YMCA at Seton,-113.945766,50.87963815
Confederation Park Golf Course,-114.1016949,51.07910903
Murray Copot Arena,-114.0657163,51.11283602
Sir Winston Churchill Aquatic & Rec Ctr,-114.1379182,51.0968838
Beltline Aquatic & Fitness Centre,-114.0669581,51.04124058
Millican-Ogden Outdoor Pool,-114.0118206,50.99123016
Killarney Aquatic & Recreation Centre,-114.1302946,51.03736368
Lakeview Golf Course,-114.1068322,51.00058771
North Mount Pleasant Arts Centre,-114.0727255,51.07672742
Frank McCool Athletic Park,-114.051414,50.93647707
Southland (Ed Whalen Arena),-114.1073633,50.96237074
Wildflower Arts Centre,-114.1355338,51.04627241
Stu Peppard Arena,-114.1037355,51.00638699
Frank McCool Arena,-114.050157,50.93607035
Calgary Soccer Centre,-113.9609282,50.99244324
Maple Ridge Golf Course,-114.0329798,50.95230247
Southland (Joseph Kryczka Arena),-114.1076299,50.96269251
Mount Pleasant Outdoor Pool,-114.0755648,51.07286446
"Forest Lawn Outdoor Pool, Wading Pool & Spray Park",-113.9763802,51.03875457
Highwood Outdoor & Wading Pool,-114.0778895,51.09214834
Foothills Aquatic Centre,-114.1254429,51.07409978
Shouldice Athletic Park,-114.1694304,51.07398474
Renfrew Athletic Park,-114.0439183,51.06558908
Village Square Arena #1,-113.9543299,51.07550723
New Brighton Athletic Park,-113.9506234,50.92772606
Huntington Hills Skatepark,-114.0652327,51.11122962
Tom Brook Athletic Park,-114.1078208,50.9638534
Foothills Athletic Park,-114.1241706,51.07326728
Woodbine Athletic Park,-114.1197248,50.93736894
Acadia Athletic Park,-114.0629491,50.97102549
Bowview Outdoor Pool & Wading Pool,-114.1029698,51.05797027
Rose Kohn Arena,-114.0748949,50.98047503
McCall Lake Golf Course,-114.0207407,51.08417443
Renfrew Aquatic & Recreation Centre,-114.0454726,51.0645569
Riley Park Wading Pool,-114.0891736,51.05885461
Forest Lawn Athletic Park,-113.9624607,51.04173198
New Brighton Skatepark,-113.9471858,50.92835248
Ernest Manning Athletic Park,-114.1921458,51.03642323
Great Plains Recreation Facility,-113.9478672,50.98439782
Southland Leisure Centre,-114.1085206,50.96228876
Glenmore Sailing School,-114.0974782,50.97870365
Repsol Sport Centre,-114.0633443,51.03457685
West Hillhurst CA,-114.104541,51.0580742
Ken Bracko Arena,-114.0044087,51.04197576